INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,ADANIPORTS,24-Sep-2015,0,XX,360.9,369.6,357.95,363.55,363.55,7501,27335.93,8960000,935000,28-AUG-2015,
FUTSTK,ADANIPORTS,29-Oct-2015,0,XX,361,370.7,361,364.65,364.65,79,289.12,57000,43000,28-AUG-2015,
FUTSTK,ADANIPORTS,26-Nov-2015,0,XX,0,0,0,363.55,369.7,0,0,0,0,28-AUG-2015,
FUTSTK,ADANIPOWER,24-Sep-2015,0,XX,23.8,24,21.9,22.7,22.7,2262,2069.76,71468000,240000,28-AUG-2015,
FUTSTK,ADANIPOWER,29-Oct-2015,0,XX,23.85,24.1,22.25,22.8,22.8,52,47.58,736000,120000,28-AUG-2015,
FUTSTK,ADANIPOWER,26-Nov-2015,0,XX,0,0,0,23.7,23.05,0,0,0,0,28-AUG-2015,
FUTSTK,AJANTPHARM,24-Sep-2015,0,XX,1457.95,1479,1416,1432.6,1432.6,1649,5973.21,581500,-26000,28-AUG-2015,
FUTSTK,AJANTPHARM,29-Oct-2015,0,XX,1432.8,1439.95,1432.8,1439.95,1448.2,2,7.18,1750,250,28-AUG-2015,
FUTSTK,AJANTPHARM,26-Nov-2015,0,XX,0,0,0,1460.45,1456.9,0,0,0,0,28-AUG-2015,
FUTSTK,ALBK,24-Sep-2015,0,XX,86.45,87.3,82,82.95,82.95,1697,2872.03,5366000,-54000,28-AUG-2015,
FUTSTK,ALBK,29-Oct-2015,0,XX,86.45,87.15,82.45,83,83,45,77.12,132000,42000,28-AUG-2015,
FUTSTK,ALBK,26-Nov-2015,0,XX,0,0,0,86.9,85.45,0,0,0,0,28-AUG-2015,
FUTSTK,AMARAJABAT,24-Sep-2015,0,XX,1074,1080,1015.95,1029.05,1029.05,1455,3814.2,306250,-3000,28-AUG-2015,
FUTSTK,AMARAJABAT,29-Oct-2015,0,XX,1063.35,1070,1060,1060,1035.8,8,21.27,1750,1500,28-AUG-2015,
FUTSTK,AMARAJABAT,26-Nov-2015,0,XX,0,0,0,1083.2,1042.05,0,0,0,0,28-AUG-2015,
FUTSTK,AMBUJACEM,24-Sep-2015,0,XX,213.75,214.45,206.15,207.2,207.2,3707,7774.38,8731000,330000,28-AUG-2015,
FUTSTK,AMBUJACEM,29-Oct-2015,0,XX,216.25,216.25,208,208.1,208.1,41,86.63,25000,15000,28-AUG-2015,
FUTSTK,AMBUJACEM,26-Nov-2015,0,XX,0,0,0,214.05,210.15,0,0,0,0,28-AUG-2015,
FUTSTK,AMTEKAUTO,24-Sep-2015,0,XX,54.4,56.1,52.35,53.5,53.5,1613,1761.31,8590000,-188000,28-AUG-2015,
FUTSTK,AMTEKAUTO,29-Oct-2015,0,XX,54.3,56.4,53.85,53.85,54.05,5,5.48,42000,2000,28-AUG-2015,
FUTSTK,ANDHRABANK,24-Sep-2015,0,XX,69.05,69.25,65.75,66.55,66.55,2094,5647.4,12148000,1128000,28-AUG-2015,
FUTSTK,ANDHRABANK,29-Oct-2015,0,XX,69.45,69.45,66.35,66.65,67.05,40,109.2,200000,104000,28-AUG-2015,
FUTSTK,ANDHRABANK,26-Nov-2015,0,XX,0,0,0,69.15,67.45,0,0,0,0,28-AUG-2015,
FUTSTK,APOLLOHOSP,24-Sep-2015,0,XX,1311.95,1367.9,1310,1344.25,1344.25,1292,4335.36,458000,-18000,28-AUG-2015,
FUTSTK,APOLLOHOSP,29-Oct-2015,0,XX,0,0,0,1375,1360.7,0,0,250,0,28-AUG-2015,
FUTSTK,APOLLOHOSP,26-Nov-2015,0,XX,0,0,0,1325.7,1368.9,0,0,0,0,28-AUG-2015,
FUTSTK,APOLLOTYRE,24-Sep-2015,0,XX,184.15,187.65,178.7,181.95,181.95,2694,9892.41,7912000,8000,28-AUG-2015,
FUTSTK,APOLLOTYRE,29-Oct-2015,0,XX,185.25,188,180.75,183.05,183.05,33,121.55,70000,28000,28-AUG-2015,
FUTSTK,APOLLOTYRE,26-Nov-2015,0,XX,0,0,0,184.85,184.8,0,0,0,0,28-AUG-2015,
FUTSTK,ARVIND,24-Sep-2015,0,XX,269.45,278.4,267,273.3,273.3,5730,15635.73,3551000,440000,28-AUG-2015,
FUTSTK,ARVIND,29-Oct-2015,0,XX,269.25,278.5,269.25,275.5,275.5,27,73.87,34000,4000,28-AUG-2015,
FUTSTK,ARVIND,26-Nov-2015,0,XX,0,0,0,270.1,276.65,0,0,0,0,28-AUG-2015,
FUTSTK,ASHOKLEY,24-Sep-2015,0,XX,93.8,94.75,91.6,92.6,92.6,9235,34431.31,57052000,-428000,28-AUG-2015,
FUTSTK,ASHOKLEY,29-Oct-2015,0,XX,93.9,95.1,92.2,93,93,120,449.75,564000,76000,28-AUG-2015,
FUTSTK,ASHOKLEY,26-Nov-2015,0,XX,94.8,94.8,94.05,94.05,93.95,2,13.21,14000,14000,28-AUG-2015,
