INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,NFTYMCAP50,26-Dec-2019,0,XX,0,0,0,3484.7,3189.1,0,0,0,0,28-Aug-15
FUTIDX,NFTYMCAP50,26-Dec-2019,0,XX,0,0,0,3212.5,3208.25,0,0,0,0,28-Aug-15
FUTIDX,NIFTY,26-Dec-2019,0,XX,8101.1,8125,7983.15,8022.7,8022.7,679971,1369270.37,21986375,940650,28-Aug-15
FUTIDX,NIFTY,26-Dec-2019,0,XX,8142.6,8157,8025.55,8062.6,8062.6,20241,40958.47,547925,78225,28-Aug-15
FUTIDX,NIFTY,26-Dec-2019,0,XX,8119,8200,8074.15,8109.45,8109.45,912,5581.02,31575,31575,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,1980.5,1984,1970,1975.25,1975.25,563,2782,217000,47750,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,0,0,0,1891,2008.75,0,0,250,0,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,0,0,0,2074.75,2023.75,0,0,0,0,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,0,0,0,2244.75,2036,0,0,0,0,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,0,0,0,2275.75,2076,0,0,0,0,28-Aug-15
FUTIDX,S&P500,26-Dec-2019,0,XX,0,0,0,2299,2116.75,0,0,0,0,28-Aug-15
FUTIVX,INDIAVIX,26-Dec-2019,0,XX,0,0,0,1600.75,2316,0,0,0,0,28-Aug-15
FUTIVX,INDIAVIX,26-Dec-2019,0,XX,0,0,0,1642,2285.25,0,0,0,0,28-Aug-15
FUTIVX,INDIAVIX,26-Dec-2019,0,XX,0,0,0,2559.75,2267,0,0,0,0,28-Aug-15
FUTSTK,ABIRLANUVO,26-Dec-2019,0,XX,2133.95,2172.95,2048,2078.75,2078.75,2093,5534.27,523375,1750,28-Aug-15
FUTSTK,ABIRLANUVO,26-Dec-2019,0,XX,2130.05,2144.05,2083,2083,2083,13,34.52,2500,1000,28-Aug-15
FUTSTK,ABIRLANUVO,26-Dec-2019,0,XX,0,0,0,2147.8,2113.55,0,0,0,0,28-Aug-15
FUTSTK,ACC,26-Dec-2019,0,XX,1380.95,1388,1353,1361.15,1361.15,4370,7496.66,1122500,38500,28-Aug-15
FUTSTK,ACC,26-Dec-2019,0,XX,1382.6,1390.4,1363.5,1369.95,1369.95,73,125.9,7875,6625,28-Aug-15
FUTSTK,ACC,26-Dec-2019,0,XX,0,0,0,1396.85,1389.3,0,0,0,0,28-Aug-15
FUTSTK,ADANIENT,26-Dec-2019,0,XX,81,82.95,75.65,77.45,77.45,9804,3882.51,10934500,722000,28-Aug-15
FUTSTK,ADANIENT,26-Dec-2019,0,XX,82.2,83.25,76.05,78.1,78.1,317,127.61,119500,55000,28-Aug-15
FUTSTK,ADANIENT,26-Dec-2019,0,XX,0,0,0,81.4,78.6,0,0,0,0,28-Aug-15
FUTSTK,ADANIPORTS,26-Dec-2019,0,XX,360.9,369.6,357.95,363.55,363.55,7501,27335.93,8960000,935000,28-Aug-15
FUTSTK,ADANIPORTS,26-Dec-2019,0,XX,361,370.7,361,364.65,364.65,79,289.12,57000,43000,28-Aug-15
FUTSTK,ADANIPORTS,26-Dec-2019,0,XX,0,0,0,363.55,369.7,0,0,0,0,28-Aug-15
FUTSTK,ADANIPOWER,26-Dec-2019,0,XX,23.8,24,21.9,22.7,22.7,2262,2069.76,71468000,240000,28-Aug-15
FUTSTK,ADANIPOWER,26-Dec-2019,0,XX,23.85,24.1,22.25,22.8,22.8,52,47.58,736000,120000,28-Aug-15
FUTSTK,ADANIPOWER,26-Dec-2019,0,XX,0,0,0,23.7,23.05,0,0,0,0,28-Aug-15
FUTSTK,AJANTPHARM,26-Dec-2019,0,XX,1457.95,1479,1416,1432.6,1432.6,1649,5973.21,581500,-26000,28-Aug-15
FUTSTK,AJANTPHARM,26-Dec-2019,0,XX,1432.8,1439.95,1432.8,1439.95,1448.2,2,7.18,1750,250,28-Aug-15
FUTSTK,AJANTPHARM,26-Dec-2019,0,XX,0,0,0,1460.45,1456.9,0,0,0,0,28-Aug-15
FUTSTK,ALBK,26-Dec-2019,0,XX,86.45,87.3,82,82.95,82.95,1697,2872.03,5366000,-54000,28-Aug-15
FUTSTK,ALBK,26-Dec-2019,0,XX,86.45,87.15,82.45,83,83,45,77.12,132000,42000,28-Aug-15
FUTSTK,ALBK,26-Dec-2019,0,XX,0,0,0,86.9,85.45,0,0,0,0,28-Aug-15
FUTSTK,AMARAJABAT,26-Dec-2019,0,XX,1074,1080,1015.95,1029.05,1029.05,1455,3814.2,306250,-3000,28-Aug-15
FUTSTK,AMARAJABAT,26-Dec-2019,0,XX,1063.35,1070,1060,1060,1035.8,8,21.27,1750,1500,28-Aug-15
FUTSTK,AMARAJABAT,26-Dec-2019,0,XX,0,0,0,1083.2,1042.05,0,0,0,0,28-Aug-15
FUTSTK,AMBUJACEM,26-Dec-2019,0,XX,213.75,214.45,206.15,207.2,207.2,3707,7774.38,8731000,330000,28-Aug-15
FUTSTK,AMBUJACEM,26-Dec-2019,0,XX,216.25,216.25,208,208.1,208.1,41,86.63,25000,15000,28-Aug-15
FUTSTK,AMBUJACEM,26-Dec-2019,0,XX,0,0,0,214.05,210.15,0,0,0,0,28-Aug-15
FUTSTK,AMTEKAUTO,26-Dec-2019,0,XX,54.4,56.1,52.35,53.5,53.5,1613,1761.31,8590000,-188000,28-Aug-15
FUTSTK,AMTEKAUTO,26-Dec-2019,0,XX,54.3,56.4,53.85,53.85,54.05,5,5.48,42000,2000,28-Aug-15
FUTSTK,ANDHRABANK,26-Dec-2019,0,XX,69.05,69.25,65.75,66.55,66.55,2094,5647.4,12148000,1128000,28-Aug-15
FUTSTK,ANDHRABANK,26-Dec-2019,0,XX,69.45,69.45,66.35,66.65,67.05,40,109.2,200000,104000,28-Aug-15
FUTSTK,ANDHRABANK,26-Dec-2019,0,XX,0,0,0,69.15,67.45,0,0,0,0,28-Aug-15
FUTSTK,APOLLOHOSP,26-Dec-2019,0,XX,1311.95,1367.9,1310,1344.25,1344.25,1292,4335.36,458000,-18000,28-Aug-15
FUTSTK,APOLLOHOSP,26-Dec-2019,0,XX,0,0,0,1375,1360.7,0,0,250,0,28-Aug-15
FUTSTK,APOLLOHOSP,26-Dec-2019,0,XX,0,0,0,1325.7,1368.9,0,0,0,0,28-Aug-15
FUTSTK,APOLLOTYRE,26-Dec-2019,0,XX,184.15,187.65,178.7,181.95,181.95,2694,9892.41,7912000,8000,28-Aug-15
FUTSTK,APOLLOTYRE,26-Dec-2019,0,XX,185.25,188,180.75,183.05,183.05,33,121.55,70000,28000,28-Aug-15
FUTSTK,APOLLOTYRE,26-Dec-2019,0,XX,0,0,0,184.85,184.8,0,0,0,0,28-Aug-15
FUTSTK,ARVIND,26-Dec-2019,0,XX,269.45,278.4,267,273.3,273.3,5730,15635.73,3551000,440000,28-Aug-15
FUTSTK,ARVIND,26-Dec-2019,0,XX,269.25,278.5,269.25,275.5,275.5,27,73.87,34000,4000,28-Aug-15
FUTSTK,ARVIND,26-Dec-2019,0,XX,0,0,0,270.1,276.65,0,0,0,0,28-Aug-15
FUTSTK,ASHOKLEY,26-Dec-2019,0,XX,93.8,94.75,91.6,92.6,92.6,9235,34431.31,57052000,-428000,28-Aug-15
FUTSTK,ASHOKLEY,26-Dec-2019,0,XX,93.9,95.1,92.2,93,93,120,449.75,564000,76000,28-Aug-15
FUTSTK,ASHOKLEY,26-Dec-2019,0,XX,94.8,94.8,94.05,94.05,93.95,2,13.21,14000,14000,28-Aug-15
FUTSTK,ASIANPAINT,26-Dec-2019,0,XX,865.2,877.35,850.1,860.4,860.4,5290,11451.4,3657000,-151000,28-Aug-15
FUTSTK,ASIANPAINT,26-Dec-2019,0,XX,873.95,881.25,858.05,864.35,864.35,139,302.48,34750,8500,28-Aug-15
FUTSTK,ASIANPAINT,26-Dec-2019,0,XX,0,0,0,871.8,874.95,0,0,0,0,28-Aug-15
FUTSTK,AUROPHARMA,26-Dec-2019,0,XX,749.2,782,748,757.45,757.45,15729,60432.81,12646500,-89000,28-Aug-15
FUTSTK,AUROPHARMA,26-Dec-2019,0,XX,764.25,785,752.9,759.45,759.45,99,379.91,55500,15000,28-Aug-15
FUTSTK,AUROPHARMA,26-Dec-2019,0,XX,0,0,0,760,771.15,0,0,0,0,28-Aug-15
FUTSTK,AXISBANK,26-Dec-2019,0,XX,516,530.65,505.2,511.05,511.05,31422,81658.56,25698000,421000,28-Aug-15
FUTSTK,AXISBANK,26-Dec-2019,0,XX,519.95,533.5,510,514.4,514.4,435,1135.78,213500,35000,28-Aug-15
FUTSTK,AXISBANK,26-Dec-2019,0,XX,513,513,513,513,518.05,1,5.13,1000,1000,28-Aug-15
FUTSTK,BAJAJ-AUTO,26-Dec-2019,0,XX,2229,2291,2210,2277.55,2277.55,6228,17613.45,1848125,-26250,28-Aug-15
FUTSTK,BAJAJ-AUTO,26-Dec-2019,0,XX,2251,2298.75,2245,2291.7,2291.7,77,219.41,12750,3250,28-Aug-15
FUTSTK,BAJAJ-AUTO,26-Dec-2019,0,XX,0,0,0,2230.75,2323.9,0,0,0,0,28-Aug-15
FUTSTK,BAJFINANCE,26-Dec-2019,0,XX,5129.05,5159,4916.4,5079.4,5079.4,668,4247.32,169750,19625,28-Aug-15
FUTSTK,BAJFINANCE,26-Dec-2019,0,XX,0,0,0,5186.85,5120,0,0,125,0,28-Aug-15
FUTSTK,BAJFINANCE,26-Dec-2019,0,XX,0,0,0,5200.1,5150.75,0,0,0,0,28-Aug-15
FUTSTK,BANKBARODA,26-Dec-2019,0,XX,191.55,193.6,182,186.05,186.05,12672,47714.76,29372000,240000,28-Aug-15
FUTSTK,BANKBARODA,26-Dec-2019,0,XX,192.3,193.85,183.35,187.25,187.25,119,450.23,556000,52000,28-Aug-15
FUTSTK,BANKBARODA,26-Dec-2019,0,XX,188,188.6,188,188.6,188.8,2,11.67,6200,6200,28-Aug-15
FUTSTK,BANKINDIA,26-Dec-2019,0,XX,146.8,148.8,138,142.05,142.05,8133,11746.71,9870000,-177000,28-Aug-15
FUTSTK,BANKINDIA,26-Dec-2019,0,XX,146.8,149.35,139.25,142.65,142.65,143,205.89,820000,34000,28-Aug-15
FUTSTK,BANKINDIA,26-Dec-2019,0,XX,139.9,139.9,139.9,139.9,144.3,1,4.19,3000,3000,28-Aug-15
FUTSTK,BATAINDIA,26-Dec-2019,0,XX,1084,1105,1030,1043.85,1043.85,2150,5768.15,841500,33750,28-Aug-15
FUTSTK,BATAINDIA,26-Dec-2019,0,XX,1068.3,1083.95,1026.1,1033.2,1033.2,26,68.22,8000,2250,28-Aug-15
FUTSTK,BATAINDIA,26-Dec-2019,0,XX,0,0,0,1138.2,1095.7,0,0,0,0,28-Aug-15
FUTSTK,BEL,26-Dec-2019,0,XX,3470.35,3586.95,3465.3,3497.35,3497.35,1711,7516.25,382375,-8375,28-Aug-15
FUTSTK,BEL,26-Dec-2019,0,XX,3600,3600,3540,3540,3521.75,3,13.38,2250,250,28-Aug-15
FUTSTK,BEL,26-Dec-2019,0,XX,0,0,0,3487.25,3542.9,0,0,0,0,28-Aug-15
FUTSTK,BHARATFORG,26-Dec-2019,0,XX,1172.75,1200,1169,1180.5,1180.5,4857,14403.7,3302250,-127250,28-Aug-15
FUTSTK,BHARATFORG,26-Dec-2019,0,XX,1196.65,1202.2,1174.7,1188.6,1188.6,91,271.35,25250,15000,28-Aug-15
FUTSTK,BHARATFORG,26-Dec-2019,0,XX,0,0,0,1202.95,1205.7,0,0,0,0,28-Aug-15
FUTSTK,BHARTIARTL,26-Dec-2019,0,XX,355,365.15,353.05,363.6,363.6,5920,21246.44,20115000,-979000,28-Aug-15
FUTSTK,BHARTIARTL,26-Dec-2019,0,XX,359.4,367,356.4,366.25,366.25,36,130.14,44000,3000,28-Aug-15
FUTSTK,BHARTIARTL,26-Dec-2019,0,XX,0,0,0,354.15,369.55,0,0,0,0,28-Aug-15
FUTSTK,BHEL,26-Dec-2019,0,XX,234.8,238.4,229.55,232.6,232.6,6476,15190.25,26854000,488000,28-Aug-15
FUTSTK,BHEL,26-Dec-2019,0,XX,232,236.6,228.1,230.55,230.55,440,1023.89,489000,197000,28-Aug-15
FUTSTK,BHEL,26-Dec-2019,0,XX,0,0,0,236.15,239.2,0,0,0,0,28-Aug-15
FUTSTK,BIOCON,26-Dec-2019,0,XX,442.45,447.7,439.1,442.8,442.8,1590,3530.11,3692500,-74500,28-Aug-15
FUTSTK,BIOCON,26-Dec-2019,0,XX,448.7,449.6,440,440,447.5,10,22.36,7000,1500,28-Aug-15
FUTSTK,BIOCON,26-Dec-2019,0,XX,0,0,0,445.95,450.2,0,0,0,0,28-Aug-15
FUTSTK,BOSCHLTD,27-Dec-2018,0,XX,23533,23864,23310.1,23740.1,23740.1,575,16975.31,220625,-25500,28-Aug-15
FUTSTK,BOSCHLTD,27-Dec-2018,0,XX,0,0,0,24576.55,23986.45,1,29.51,125,125,28-Aug-15
FUTSTK,BOSCHLTD,27-Dec-2018,0,XX,0,0,0,23576.9,24130.55,0,0,0,0,28-Aug-15
FUTSTK,BPCL,27-Dec-2018,0,XX,857,870.95,850.05,863.15,863.15,6349,27419.85,4547000,68500,28-Aug-15
FUTSTK,BPCL,27-Dec-2018,0,XX,859.3,874.8,857.25,866.6,866.6,54,233.96,23500,9500,28-Aug-15
FUTSTK,BPCL,27-Dec-2018,0,XX,0,0,0,897.5,877.7,0,0,0,0,28-Aug-15
FUTSTK,BRITANNIA,27-Dec-2018,0,XX,2990.75,3075,2961,2988.5,2988.5,3003,11332.98,793375,9750,28-Aug-15
FUTSTK,BRITANNIA,27-Dec-2018,0,XX,2997.3,3025,2981.8,2999.9,2999.9,11,41.34,1625,625,28-Aug-15
FUTSTK,BRITANNIA,27-Dec-2018,0,XX,0,0,0,3000.1,3031.65,0,0,0,0,28-Aug-15
FUTSTK,CAIRN,27-Dec-2018,0,XX,146.2,150.65,142.05,145.2,145.2,7317,10759.76,9866000,-96000,28-Aug-15
FUTSTK,CAIRN,27-Dec-2018,0,XX,146.15,149.45,141.45,144.95,144.95,238,348.19,325000,78000,28-Aug-15
FUTSTK,CAIRN,27-Dec-2018,0,XX,0,0,0,142,148.45,0,0,0,0,28-Aug-15
FUTSTK,CANBK,27-Dec-2018,0,XX,295.4,301.8,280.65,282.3,282.3,10531,30659.24,9335000,526000,28-Aug-15
FUTSTK,CANBK,27-Dec-2018,0,XX,295.65,303,282.1,283.5,283.5,299,876.99,732000,28000,28-Aug-15
FUTSTK,CANBK,27-Dec-2018,0,XX,0,0,0,294.2,285.95,0,0,0,0,28-Aug-15
FUTSTK,CASTROLIND,27-Dec-2018,0,XX,450.2,451.7,441,444.65,444.65,726,1619.69,1069000,-14500,28-Aug-15
FUTSTK,CASTROLIND,27-Dec-2018,0,XX,0,0,0,454.3,448.15,0,0,2000,0,28-Aug-15
FUTSTK,CASTROLIND,27-Dec-2018,0,XX,0,0,0,454.9,450.8,0,0,0,0,28-Aug-15
FUTSTK,CEATLTD,27-Dec-2018,0,XX,1129.4,1144.9,1086.1,1105.2,1105.2,5071,28417.25,928500,62000,28-Aug-15
FUTSTK,CEATLTD,27-Dec-2018,0,XX,1138.8,1147.35,1095.15,1109,1109,20,112.82,9000,2500,28-Aug-15
FUTSTK,CEATLTD,27-Dec-2018,0,XX,0,0,0,1134.05,1122.1,0,0,0,0,28-Aug-15
FUTSTK,CENTURYTEX,27-Dec-2018,0,XX,581.6,590.75,549,558.7,558.7,6790,19510.85,8080000,11000,28-Aug-15
FUTSTK,CENTURYTEX,27-Dec-2018,0,XX,584.8,591,553.3,563.35,563.35,33,95.87,11000,5000,28-Aug-15
FUTSTK,CENTURYTEX,27-Dec-2018,0,XX,0,0,0,581.05,567.25,0,0,0,0,28-Aug-15
FUTSTK,CESC,27-Dec-2018,0,XX,542.75,547.5,522.35,526.7,526.7,1108,2950.14,1725000,94500,28-Aug-15
FUTSTK,CESC,27-Dec-2018,0,XX,540,540,528,528,530.3,10,26.64,6500,3500,28-Aug-15
FUTSTK,CESC,27-Dec-2018,0,XX,0,0,0,543.75,533.5,0,0,0,0,28-Aug-15
FUTSTK,CIPLA,27-Dec-2018,0,XX,673.8,682.5,658.05,662.8,662.8,8229,27524.67,9693500,169500,28-Aug-15
FUTSTK,CIPLA,27-Dec-2018,0,XX,684.8,684.8,662.7,667,667,85,286.28,42000,18000,28-Aug-15
FUTSTK,CIPLA,27-Dec-2018,0,XX,0,0,0,673.95,672.7,0,0,0,0,28-Aug-15
FUTSTK,COALINDIA,27-Dec-2018,0,XX,366.3,368,355.7,357.65,357.65,4810,17351.91,15004000,-132000,28-Aug-15
FUTSTK,COALINDIA,27-Dec-2018,0,XX,368.7,368.7,357.55,359,359,153,551.95,177000,91000,28-Aug-15
FUTSTK,COALINDIA,27-Dec-2018,0,XX,0,0,0,369,364.5,0,0,0,0,28-Aug-15
FUTSTK,COLPAL,27-Dec-2018,0,XX,1965,1973,1944.1,1951.2,1951.2,885,2167.47,619375,-3000,28-Aug-15
FUTSTK,COLPAL,27-Dec-2018,0,XX,0,0,0,1972.85,1973,0,0,375,0,28-Aug-15
FUTSTK,COLPAL,27-Dec-2018,0,XX,0,0,0,1976.35,1984.9,0,0,0,0,28-Aug-15
FUTSTK,CROMPGREAV,27-Dec-2018,0,XX,181.05,182.4,173.25,176.6,176.6,2601,9205.51,12876000,-360000,28-Aug-15
FUTSTK,CROMPGREAV,27-Dec-2018,0,XX,181.65,181.65,174.7,176.7,176.7,45,159.41,96000,40000,28-Aug-15
FUTSTK,CROMPGREAV,27-Dec-2018,0,XX,0,0,0,185.15,180.7,0,0,0,0,28-Aug-15
FUTSTK,DABUR,27-Dec-2018,0,XX,287.5,289,278,281.5,281.5,1461,4110.02,2663000,151000,28-Aug-15
FUTSTK,DABUR,27-Dec-2018,0,XX,283.3,284.45,280.4,282.8,282.8,18,50.79,10000,8000,28-Aug-15
FUTSTK,DABUR,27-Dec-2018,0,XX,0,0,0,290.1,285.75,0,0,0,0,28-Aug-15
FUTSTK,DHFL,27-Dec-2018,0,XX,454.35,464.9,439,446.65,446.65,2299,5203.57,1932500,-67500,28-Aug-15
FUTSTK,DHFL,27-Dec-2018,0,XX,455,455.6,442.7,442.7,452.25,6,13.44,4500,2000,28-Aug-15
FUTSTK,DHFL,27-Dec-2018,0,XX,0,0,0,452.85,454.95,0,0,0,0,28-Aug-15
FUTSTK,DISHTV,27-Dec-2018,0,XX,108.8,109.4,103.05,104.4,104.4,4346,18393.59,22636000,1620000,28-Aug-15
FUTSTK,DISHTV,27-Dec-2018,0,XX,109.85,111.7,103.5,104.55,104.55,26,111.51,172000,60000,28-Aug-15
FUTSTK,DISHTV,27-Dec-2018,0,XX,0,0,0,109.15,105.9,0,0,0,0,28-Aug-15
FUTSTK,DIVISLAB,27-Dec-2018,0,XX,2271.95,2290,2218.05,2257.85,2257.85,1967,5559.94,570125,-8000,28-Aug-15
FUTSTK,DIVISLAB,27-Dec-2018,0,XX,2284.05,2292,2253,2274.35,2274.35,19,53.94,5500,1375,28-Aug-15
FUTSTK,DIVISLAB,27-Dec-2018,0,XX,0,0,0,2255.9,2291.5,0,0,0,0,28-Aug-15
FUTSTK,DLF,27-Dec-2018,0,XX,118.35,120.1,112.3,115.7,115.7,13795,32149.31,31254000,-1378000,28-Aug-15
FUTSTK,DLF,27-Dec-2018,0,XX,118,120.45,113,116.5,116.5,249,583.64,266000,120000,28-Aug-15
FUTSTK,DLF,27-Dec-2018,0,XX,120.45,120.45,114.85,114.85,117.45,2,11.76,10000,10000,28-Aug-15
FUTSTK,DRREDDY,27-Dec-2018,0,XX,4232.6,4251,4169,4191.5,4191.5,4427,23313.66,1255250,24125,28-Aug-15
FUTSTK,DRREDDY,27-Dec-2018,0,XX,4268.9,4268.9,4194.8,4214.9,4214.9,72,381.12,7875,2750,28-Aug-15
FUTSTK,DRREDDY,27-Dec-2018,0,XX,0,0,0,4211.2,4262.05,0,0,0,0,28-Aug-15
FUTSTK,EICHERMOT,27-Dec-2018,0,XX,19150,19270,18631,18964.4,18964.4,1154,27392.17,199125,6125,28-Aug-15
FUTSTK,EICHERMOT,27-Dec-2018,0,XX,19146.9,19146.9,19146.9,19146.9,19171.95,1,23.93,500,0,28-Aug-15
FUTSTK,EICHERMOT,27-Dec-2018,0,XX,0,0,0,19140.2,19287.15,0,0,0,0,28-Aug-15
FUTSTK,ENGINERSIN,27-Dec-2018,0,XX,190.25,190.95,184.35,186.3,186.3,538,1008.99,1671000,-67000,28-Aug-15
FUTSTK,ENGINERSIN,27-Dec-2018,0,XX,188.45,188.45,188.05,188.05,188.85,6,11.28,9000,6000,28-Aug-15
FUTSTK,ENGINERSIN,27-Dec-2018,0,XX,0,0,0,188.65,190,0,0,0,0,28-Aug-15
FUTSTK,EXIDEIND,27-Dec-2018,0,XX,158,159.35,152.55,154.75,154.75,1777,5566.79,6286000,220000,28-Aug-15
FUTSTK,EXIDEIND,27-Dec-2018,0,XX,158.7,158.7,153.5,155,155,6,18.74,30000,4000,28-Aug-15
FUTSTK,EXIDEIND,27-Dec-2018,0,XX,0,0,0,159.85,157.1,0,0,0,0,28-Aug-15
FUTSTK,FEDERALBNK,27-Dec-2018,0,XX,62.95,63.7,62.1,62.7,62.7,1136,2851.71,25484000,-80000,28-Aug-15
FUTSTK,FEDERALBNK,27-Dec-2018,0,XX,63.5,64,62.6,62.6,63.3,10,25.25,80000,24000,28-Aug-15
FUTSTK,FEDERALBNK,27-Dec-2018,0,XX,0,0,0,62.95,63.7,0,0,0,0,28-Aug-15
FUTSTK,GAIL,27-Dec-2018,0,XX,287.9,293.85,283.2,289.95,289.95,2614,7580.48,9702000,-71000,28-Aug-15
FUTSTK,GAIL,27-Dec-2018,0,XX,288,292,285.3,291,291,28,80.75,128000,2000,28-Aug-15
FUTSTK,GAIL,27-Dec-2018,0,XX,0,0,0,286.5,294.7,0,0,0,0,28-Aug-15
FUTSTK,GLENMARK,27-Dec-2018,0,XX,1198.2,1206.65,1157.5,1177.4,1177.4,8388,24683.81,1804500,574000,28-Aug-15
FUTSTK,GLENMARK,27-Dec-2018,0,XX,1185,1185,1182.35,1182.35,1182.35,7,20.69,1750,1250,28-Aug-15
FUTSTK,GLENMARK,27-Dec-2018,0,XX,0,0,0,1218,1197.6,0,0,0,0,28-Aug-15
FUTSTK,GMRINFRA,27-Dec-2018,0,XX,12.3,12.65,11.6,11.7,11.7,1510,2360.47,143832000,-2340000,28-Aug-15
FUTSTK,GMRINFRA,27-Dec-2018,0,XX,12.2,12.5,11.6,11.65,11.65,76,118.69,2483000,689000,28-Aug-15
FUTSTK,GMRINFRA,27-Dec-2018,0,XX,12,12,11.7,11.7,11.7,2,9.24,0,0,28-Aug-15
FUTSTK,GODREJIND,27-Dec-2018,0,XX,370.85,370.85,358,364.7,364.7,890,3248.4,1399000,-2000,28-Aug-15
FUTSTK,GODREJIND,27-Dec-2018,0,XX,364.5,366,364,366,374.4,26,94.77,45000,23000,28-Aug-15
FUTSTK,GODREJIND,27-Dec-2018,0,XX,0,0,0,378,376.65,0,0,0,0,28-Aug-15
FUTSTK,GRASIM,27-Dec-2018,0,XX,3569.3,3569.3,3432,3450.4,3450.4,1695,7386.23,1057375,-13250,28-Aug-15
FUTSTK,GRASIM,27-Dec-2018,0,XX,3510.15,3520.45,3456.55,3474.05,3496,28,122.13,2500,2000,28-Aug-15
FUTSTK,GRASIM,27-Dec-2018,0,XX,0,0,0,3573,3517,0,0,0,0,28-Aug-15
FUTSTK,HAVELLS,27-Dec-2018,0,XX,268.95,270.55,259,262.55,262.55,1274,3381.35,3467000,111000,28-Aug-15
FUTSTK,HAVELLS,27-Dec-2018,0,XX,268.65,269,260.7,260.7,268.4,17,45.38,18000,9000,28-Aug-15
FUTSTK,HAVELLS,27-Dec-2018,0,XX,0,0,0,268.6,270,0,0,0,0,28-Aug-15
FUTSTK,HCLTECH,27-Dec-2018,0,XX,928.55,957.65,928.55,955.2,955.2,6482,15327.58,7576250,-26250,28-Aug-15
FUTSTK,HCLTECH,27-Dec-2018,0,XX,939,960,939,957,957,249,592.12,42000,26250,28-Aug-15
